,INCIDENT_KEY,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG
120,25490118,25490118-10556,<18,Male,Black,N
121,25527192,25527192-10563,18-24,Male,Black,N
122,25527195,25527195-10566,18-24,Female,Black,N
123,25574775,25574775-10577,25-44,Male,White,N
124,25607888,25607888-10603,25-44,Male,Black,Y
125,25713835,25713835-10651,18-24,Male,Black Hispanic,N
126,25713837,25713837-10654,25-44,Male,Black,Y
127,25911847,25911847-10711,25-44,Male,Black,N
128,25911849,25911849-10713,18-24,Male,Black,N
129,25932836,25932836-10728,25-44,Male,Black,N
130,26010439,26010439-10768,18-24,Male,Black,Y
131,26233902,26233902-10844,<18,Male,Black,N
132,26344232,26344232-10871,18-24,Male,Black,Y
133,26430179,26430179-10882,25-44,Male,Black,N
134,26439482,26439482-10886,18-24,Male,Black,N
135,26530375,26530375-10903,18-24,Male,Black,N
136,26530375,26530375-10904,<18,Male,Black,N
137,26699360,26699360-10957,25-44,Male,Black,N
138,26805787,26805787-10970,25-44,Male,Black,N
139,26929483,26929483-11005,18-24,Female,Black,N
140,26947143,26947143-11007,18-24,Male,Black,N
141,27008267,27008267-11017,<18,Male,Black,N
142,27078637,27078637-11026,18-24,Male,Black,N
143,27105895,27105895-11030,25-44,Male,Black,N
144,27126161,27126161-11038,18-24,Male,Black,N
145,27126161,27126161-11039,25-44,Male,Black,N
146,27126161,27126161-11040,18-24,Male,Black,N
147,27353809,27353809-11088,<18,Male,Black,N
148,27501000,27501000-11115,18-24,Male,Black,N
149,27616451,27616451-11142,25-44,Male,Black,N
150,28187785,28187785-11166,18-24,Male,Black,N
151,28206267,28206267-11167,25-44,Male,Black,N
152,28268456,28268456-11193,45-64,Male,Black,Y
153,28349211,28349211-11215,25-44,Male,White Hispanic,Y
154,28349211,28349211-11216,18-24,Male,White Hispanic,N
155,28446322,28446322-11236,25-44,Male,Black,N
156,28560897,28560897-11259,18-24,Male,White Hispanic,N
157,28575963,28575963-11263,<18,Male,Black,N
158,28575963,28575963-11264,18-24,Male,Black,N
159,28575963,28575963-11265,18-24,Male,Black,N
160,28575963,28575963-11266,<18,Female,Black,N
161,28620014,28620014-11287,18-24,Male,White Hispanic,N
162,28654489,28654489-11307,18-24,Male,Black,N
163,28883130,28883130-11361,18-24,Male,White Hispanic,Y
164,28907941,28907941-11373,18-24,Male,Black,N
165,28980865,28980865-11398,25-44,Male,White Hispanic,N
166,29024304,29024304-11418,25-44,Male,Black,N
167,29059033,29059033-11431,25-44,Male,Black,N
168,29129302,29129302-11458,<18,Male,Black,N
169,29129302,29129302-11459,<18,Male,Black,N
170,29129304,29129304-11461,18-24,Male,Black,Y
171,29210901,29210901-11487,18-24,Male,Black,N
172,29210902,29210902-11488,25-44,Male,Black,N
173,29210902,29210902-11489,25-44,Male,Black,N
174,29210902,29210902-11490,<18,Male,Black,N
175,29210902,29210902-11491,25-44,Female,Black,N
176,29277324,29277324-11518,18-24,Male,Black Hispanic,Y
177,29277327,29277327-11522,25-44,Male,White Hispanic,N
178,29301877,29301877-11533,<18,Male,Black Hispanic,N
179,29301877,29301877-11534,18-24,Male,Black Hispanic,N
180,29301877,29301877-11535,18-24,Male,Black Hispanic,N
181,29301877,29301877-11536,18-24,Female,Black Hispanic,N
182,29373509,29373509-11572,18-24,Male,Black,N
183,29373511,29373511-11575,25-44,Male,Black,N
184,29388844,29388844-11580,<18,Male,White Hispanic,Y
185,29406948,29406948-11588,<18,Male,Black,N
186,32155719,32155719-11616,18-24,Male,White Hispanic,Y
187,32155729,32155729-11626,<18,Female,Black,N
188,32155729,32155729-11627,18-24,Female,Black,N
189,32155729,32155729-11628,25-44,Male,Black,N
190,32155729,32155729-11629,18-24,Male,Black,N
191,32155731,32155731-11631,18-24,Male,Black,N
192,32155733,32155733-11634,18-24,Male,Black,N
193,32155733,32155733-11635,18-24,Male,Black,N
194,32527923,32527923-11685,25-44,Male,Black,Y
195,32821782,32821782-11779,18-24,Male,Black Hispanic,N
196,32852892,32852892-11789,18-24,Female,Black,N
197,32852892,32852892-11790,18-24,Male,Black,N
198,32852892,32852892-11791,<18,Male,Black,N
199,32852892,32852892-11792,<18,Male,Black,N
200,32852892,32852892-11793,<18,Male,Black,N
201,32898436,32898436-11811,18-24,Male,Black,N
202,32914992,32914992-11820,18-24,Male,Black,N
203,32914995,32914995-11824,18-24,Male,Black,N
204,32949483,32949483-11832,25-44,Male,Black,N
205,33008214,33008214-11857,18-24,Male,White Hispanic,N
206,33008215,33008215-11858,18-24,Male,White,Y
207,33008215,33008215-11859,25-44,Male,Asian / Pacific Islander,N
208,33212236,33212236-11930,18-24,Male,Black,N
209,33413504,33413504-11993,25-44,Male,Black,N
210,33413504,33413504-11994,18-24,Male,Black,N
211,33413504,33413504-11995,18-24,Male,Black,N
212,33413512,33413512-12003,18-24,Male,Black,Y
